fia,region,b1,b2,b3,b4,b5,b6
375,NE,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
379,NE,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
391,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
400,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
401,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
402,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
403,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
404,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
405,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
407,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
408,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
409,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
410,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
421,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
450,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
452,NE,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
460,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
461,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
462,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
471,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
481,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
490,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
491,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
500,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
521,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
531,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
540,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
541,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
543,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
544,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
545,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
546,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
552,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
571,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
591,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
601,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
602,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
611,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
621,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
641,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
650,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
651,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
653,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
654,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
655,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
660,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
690,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
691,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
693,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
694,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
701,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
711,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
712,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
731,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
741,NE,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
742,NE,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
743,NE,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
