habitat,fate,product,species_group,years_since_harvest,proportion
1,in_use,sawtimber,softwood,25,0.2870
1,in_use,sawtimber,softwood,26,0.2818
1,in_use,sawtimber,softwood,27,0.2768
1,in_use,sawtimber,softwood,28,0.2720
1,in_use,sawtimber,softwood,29,0.2673
1,in_use,sawtimber,softwood,30,0.2628
1,in_use,sawtimber,softwood,31,0.2584
1,in_use,sawtimber,softwood,32,0.2542
1,in_use,sawtimber,softwood,33,0.2501
1,in_use,sawtimber,softwood,34,0.2461
1,in_use,sawtimber,softwood,35,0.2422
1,in_use,sawtimber,softwood,36,0.2385
1,in_use,sawtimber,softwood,37,0.2348
1,in_use,sawtimber,softwood,38,0.2313
1,in_use,sawtimber,softwood,39,0.2278
1,in_use,sawtimber,softwood,40,0.2245
1,in_use,sawtimber,softwood,41,0.2212
1,in_use,sawtimber,softwood,42,0.2180
1,in_use,sawtimber,softwood,43,0.2149
1,in_use,sawtimber,softwood,44,0.2119
1,in_use,sawtimber,softwood,45,0.2089
1,in_use,sawtimber,softwood,46,0.2060
1,in_use,sawtimber,softwood,47,0.2032
1,in_use,sawtimber,softwood,48,0.2005
1,in_use,sawtimber,softwood,49,0.1978
1,in_use,sawtimber,softwood,50,0.1952
1,in_use,sawtimber,softwood,51,0.1926
1,in_use,sawtimber,softwood,52,0.1901
1,in_use,sawtimber,softwood,53,0.1876
1,in_use,sawtimber,softwood,54,0.1852
1,in_use,sawtimber,softwood,55,0.1829
1,in_use,sawtimber,softwood,56,0.1806
1,in_use,sawtimber,softwood,57,0.1783
1,in_use,sawtimber,softwood,58,0.1761
1,in_use,sawtimber,softwood,59,0.1740
1,in_use,sawtimber,softwood,60,0.1718
1,in_use,sawtimber,softwood,61,0.1698
1,in_use,sawtimber,softwood,62,0.1677
1,in_use,sawtimber,softwood,63,0.1657
1,in_use,sawtimber,softwood,64,0.1638
1,in_use,sawtimber,softwood,65,0.1619
1,in_use,sawtimber,softwood,66,0.1600
1,in_use,sawtimber,softwood,67,0.1581
1,in_use,sawtimber,softwood,68,0.1563
1,in_use,sawtimber,softwood,69,0.1545
1,in_use,sawtimber,softwood,70,0.1528
1,in_use,sawtimber,softwood,71,0.1511
1,in_use,sawtimber,softwood,72,0.1494
1,in_use,sawtimber,softwood,73,0.1477
1,in_use,sawtimber,softwood,74,0.1461
1,in_use,sawtimber,softwood,75,0.1445
1,in_use,sawtimber,softwood,76,0.1429
1,in_use,sawtimber,softwood,77,0.1413
1,in_use,sawtimber,softwood,78,0.1398
1,in_use,sawtimber,softwood,79,0.1383
1,in_use,sawtimber,softwood,80,0.1368
1,in_use,sawtimber,softwood,81,0.1354
1,in_use,sawtimber,softwood,82,0.1339
1,in_use,sawtimber,softwood,83,0.1325
1,in_use,sawtimber,softwood,84,0.1311
1,in_use,sawtimber,softwood,85,0.1298
1,in_use,sawtimber,softwood,86,0.1284
1,in_use,sawtimber,softwood,87,0.1271
1,in_use,sawtimber,softwood,88,0.1258
1,in_use,sawtimber,softwood,89,0.1245
1,in_use,sawtimber,softwood,90,0.1232
1,in_use,sawtimber,softwood,91,0.1220
1,in_use,sawtimber,softwood,92,0.1207
1,in_use,sawtimber,softwood,93,0.1195
1,in_use,sawtimber,softwood,94,0.1183
1,in_use,sawtimber,softwood,95,0.1171
1,in_use,sawtimber,softwood,96,0.1160
1,in_use,sawtimber,softwood,97,0.1148
1,in_use,sawtimber,softwood,98,0.1137
1,in_use,sawtimber,softwood,99,0.1126
1,in_use,sawtimber,softwood,100,0.1115
1,in_use,sawtimber,softwood,101,0.1104
1,landfill,sawtimber,softwood,1,0.0000
1,landfill,sawtimber,softwood,2,0.0160
1,landfill,sawtimber,softwood,3,0.0303
1,landfill,sawtimber,softwood,4,0.0431
1,landfill,sawtimber,softwood,5,0.0545
1,landfill,sawtimber,softwood,6,0.0648
1,landfill,sawtimber,softwood,7,0.0741
1,landfill,sawtimber,softwood,8,0.0826
1,landfill,sawtimber,softwood,9,0.0905
1,landfill,sawtimber,softwood,10,0.0977
1,landfill,sawtimber,softwood,11,0.1043
1,landfill,sawtimber,softwood,12,0.1102
1,landfill,sawtimber,softwood,13,0.1155
1,landfill,sawtimber,softwood,14,0.1203
1,landfill,sawtimber,softwood,15,0.1246
1,landfill,sawtimber,softwood,16,0.1286
1,landfill,sawtimber,softwood,17,0.1322
1,landfill,sawtimber,softwood,18,0.1356
1,landfill,sawtimber,softwood,19,0.1388
1,landfill,sawtimber,softwood,20,0.1418
1,landfill,sawtimber,softwood,21,0.1446
1,landfill,sawtimber,softwood,22,0.1472
1,landfill,sawtimber,softwood,23,0.1496
1,landfill,sawtimber,softwood,24,0.1520
1,landfill,sawtimber,softwood,25,0.1542
1,landfill,sawtimber,softwood,26,0.1563
1,landfill,sawtimber,softwood,27,0.1584
1,landfill,sawtimber,softwood,28,0.1603
1,landfill,sawtimber,softwood,29,0.1622
1,landfill,sawtimber,softwood,30,0.1640
1,landfill,sawtimber,softwood,31,0.1657
1,landfill,sawtimber,softwood,32,0.1674
1,landfill,sawtimber,softwood,33,0.1690
1,landfill,sawtimber,softwood,34,0.1706
