species_index,code_alpha,code_fia,code_plants,dg_resid_sd,dg_intercept,dg_ln_dbh,dg_dbh_squared,dg_ln_crown_pct,dg_site_index,dg_relative_height,dg_stand_basal_area,dg_point_bal,dg_slope_tan,dg_slope_cos_aspect,dg_slope_sin_aspect,dg_prior_obs_count,dg_fortype_lowland_hw,dg_fortype_nonoak_hw,dg_fortype_oak_pine,dg_fortype_softwd_hp,dg_fortype_upland_hw,dg_fortype_upland_oak,dg_fortype_yellow_pine,dg_planted,dg_phys_pm221,dg_phys_pm222,dg_phys_pm231,dg_phys_p221,dg_phys_p222,dg_phys_s231t,dg_phys_s231l,dg_phys_p232,dg_phys_p234,dg_phys_p255,dg_phys_p411,bark_intercept,bark_slope,dg_bound_dbh_lo,dg_bound_dbh_hi,ht_curve_b1,ht_curve_b2,ht_curve_b3,ht_curve_b4,ht_curve_b5,ht_relht_yxs,ht_relht_r,ht_relht_b,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,site_index_min,site_index_max,site_group,varmrt_shade_adj
31,DW,491,COFL2,0.5382,-2.540719,1.293125,-0.000856,0.368481,0.004257,-0.611245,-0.003144,-0.001235,-0.282662,-0.084011,0.104748,7775.0,0.193678,0.080191,0.22776,-0.207255,0.123444,0.0,0.395749,0.0,0.101205,0.352912,0.166296,0.233779,0.104553,0.0,0.359721,0.093627,0.488202,0.0,0.0,-0.33014,0.94215,9.7,12.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.2,20.0,-1.1,5.1677,-0.0077681,257.0,15.0,45.0,9,0.1
32,PS,521,DIVI5,0.516,-2.524455,1.479865,-0.001512,0.289171,0.003369,0.243575,-0.001319,-0.002784,-0.327799,-0.200696,-0.145939,1219.0,0.140335,0.008246,-0.030083,0.0,0.064726,-0.063738,0.0,0.0,0.111933,-0.023333,0.289483,0.480859,0.215139,-0.049742,0.24935,0.0,0.363787,0.31787,0.0,-0.42001,0.94264,22.4,27.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.2,20.0,-1.1,5.1677,-0.0077681,147.0,15.0,70.0,9,0.1
33,AB,531,FAGR,0.4805,-1.251887,1.349337,-0.000447,0.193148,-0.000287,0.279322,-0.002547,-0.001176,-0.3804,0.160386,-0.088382,4953.0,0.139891,0.094979,0.112394,0.191476,0.098473,0.0,0.301892,0.0,-0.191377,-0.370162,-0.181571,-0.105676,0.093229,0.006941,-0.003611,0.0,-0.031277,0.0,0.0,-0.1304,0.97071,42.8,60.0,29.73,0.3631,-0.0127,16.7616,-0.6804,0.2,20.0,-1.1,5.1677,-0.0077681,364.0,35.0,85.0,9,0.1
34,AS,540,FRAXI,0.5958,-2.954457,1.461691,0.0,0.377819,0.007104,0.185353,-0.002027,-0.000779,-0.619659,0.020132,-0.020785,5463.0,0.0,0.065051,-0.006241,0.243386,0.009788,-0.041769,-0.049053,0.0,0.424837,0.0,0.0,-0.181787,0.0,0.073246,0.0,0.0,0.0,0.0,-0.795646,-0.34316,0.93964,30.7,60.0,1.6505,0.9096,-0.0644,125.7045,-0.8908,0.15,16.0,-1.2,5.1677,-0.0077681,414.0,35.0,105.0,6,0.3
35,WA,541,FRAM2,0.4228,-1.315283,1.216264,-8.0e-5,0.087907,0.003424,0.487191,-0.000807,-0.001262,0.018297,-0.001091,-0.021565,1989.0,0.112081,0.244086,-0.042491,0.0,0.199271,0.0,0.256243,0.0,-0.082465,-0.149061,-0.241677,-0.146698,0.0,-0.208643,-0.015617,-0.004213,0.151449,-0.056292,0.0,-0.48735,0.93847,33.4,84.0,4.1492,0.7531,-0.0269,14.5384,-0.5811,0.05,13.0,-1.6,5.9617,-0.0340128,408.0,35.0,95.0,2,0.7
36,BA,543,FRNI,0.4856,-0.897707,1.243091,0.0,0.090158,-0.000465,0.496594,-1.0e-6,-0.00145,-0.158064,-0.138225,-0.081197,3958.0,0.0,0.003456,-0.108803,0.0,-0.01864,-0.08551,-0.27944,0.0,0.1469,-0.443396,-0.448423,-0.133024,-0.079056,-0.119819,-0.116966,-0.075746,0.0,-0.003469,0.0,-0.25063,0.94349,36.0,48.0,4.2286,0.7857,-0.0178,4.6219,-0.3591,0.05,13.0,-1.6,5.9617,-0.0340128,423.0,35.0,85.0,9,0.7
37,GA,544,FRPE,0.4856,-0.897707,1.243091,0.0,0.090158,-0.000465,0.496594,-1.0e-6,-0.00145,-0.158064,-0.138225,-0.081197,3958.0,0.0,0.003456,-0.108803,0.0,-0.01864,-0.08551,-0.27944,0.0,0.1469,-0.443396,-0.448423,-0.133024,-0.079056,-0.119819,-0.116966,-0.075746,0.0,-0.003469,0.0,-0.34316,0.93964,37.0,48.0,1.6505,0.9096,-0.0644,125.7045,-0.8908,0.15,16.0,-1.2,5.1677,-0.0077681,414.0,35.0,105.0,9,0.3
38,HL,552,GLTR,0.4682,-0.314922,0.927191,0.0,0.103234,0.003038,0.538379,-0.001181,-0.002489,-0.107755,0.958763,0.823135,588.0,0.0,0.0,-0.228299,0.0,-0.170453,-0.17868,-0.343244,0.0,-0.256637,-0.149473,0.04739,-0.34169,-0.215198,-0.396963,0.095929,-0.078848,0.0,0.115297,0.0,-0.42001,0.94264,33.2,72.0,0.968,1.0301,-0.0468,0.1639,0.4127,0.05,13.0,-1.6,5.9617,-0.0340128,338.0,25.0,120.0,9,0.7
39,LB,555,GOLA,0.5908,-2.514589,1.459672,-0.001317,0.654209,-0.003582,0.106808,-0.000311,-0.002192,-3.469125,-10.149549,1.404412,1483.0,0.0,0.0,-0.063217,0.0,-0.297261,0.0,0.065035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33014,0.94215,28.1,33.4,1.5341,1.0013,-0.0208,0.9986,-0.0012,0.15,16.0,-1.2,5.1677,-0.0077681,492.0,15.0,50.0,9,0.3
40,HA,580,HALES,0.5996,-2.352258,1.746852,0.0,0.291502,0.003239,-1.771604,0.0,-0.00077,0.335703,-0.657751,0.585839,89.0,0.0,-0.063207,0.0,0.0,-0.111645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.211742,0.0,0.0,0.0,0.0,0.0,-0.33014,0.94215,20.5,36.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,430.0,15.0,65.0,9,0.3
