code_alpha,code_fia,code_plants,target_bm,target_bm2,target_bm3,target_bm4
,,POHI8,CW,CW,CW,CW
,,POIN23,CW,CW,CW,CW
,,POJA2,OH,OH,OH,OH
,,PONI,CW,CW,CW,CW
,,POPA11,CW,CW,CW,CW
CO,740,POPUL,CW,CW,CW,CW
AS,746,POTR5,AS,AS,AS,AS
,,PRAM,OH,OH,OH,OH
,,PRAV,OH,OH,OH,OH
,,PRCE,OH,OH,OH,OH
,,PRDO,OH,OH,OH,OH
CH,768,PREM,OH,OH,OH,OH
,,PREME,OH,OH,OH,OH
HM,756,PRGL2,OH,OH,OH,OH
MQ,755,PROSO,OH,OH,OH,OH
SM,758,PRPU,OH,OH,OH,OH
PL,760,PRUNU,OH,OH,OH,OH
VM,757,PRVE,OH,OH,OH,OH
,,PRVID,OH,OH,OH,OH
,,PRVIM,OH,OH,OH,OH
,,PRVIV,OH,OH,OH,OH
OD,200,PSEUD7,DF,DF,DF,DF
BD,201,PSMA,OS,OS,OS,OS
DF,202,PSME,DF,DF,DF,DF
,,PSMEG,DF,DF,DF,DF
,,PSMEM,DF,DF,DF,DF
,,PYCO,OH,OH,OH,OH
LO,801,QUAG,OH,OH,OH,OH
,,QUAGA,OH,OH,OH,OH
,,QUAGO,OH,OH,OH,OH
AW,803,QUAR,OH,OH,OH,OH
,,QUBE5,OH,OH,OH,OH
CY,805,QUCH2,OH,OH,OH,OH
,,QUCHC,OH,OH,OH,OH
,,QUCHN,OH,OH,OH,OH
,,QUCO7,OH,OH,OH,OH
BL,807,QUDO,OH,OH,OH,OH
,,QUDU,OH,OH,OH,OH
,,QUDU4,OH,OH,OH,OH
EM,810,QUEM,OH,OH,OH,OH
EO,811,QUEN,OH,OH,OH,OH
OA,800,QUERC,OH,OH,OH,OH
WO,815,QUGA4,OH,OH,OH,OH
GO,814,QUGA,OH,OH,OH,OH
,,QUGAF,OH,OH,OH,OH
,,QUGAG,OH,OH,OH,OH
,,QUGAG2,OH,OH,OH,OH
,,QUGAS,OH,OH,OH,OH
GR,846,QUGR3,OH,OH,OH,OH
SO,843,QUHY,OH,OH,OH,OH
,,QUJO3,OH,OH,OH,OH
BO,818,QUKE,OH,OH,OH,OH
VO,821,QULO,OH,OH,OH,OH
BK,823,QUMA2,OH,OH,OH,OH
,,QUMO2,OH,OH,OH,OH
CK,826,QUMU,OH,OH,OH,OH
MK,829,QUOB,OH,OH,OH,OH
,,QUPA10,OH,OH,OH,OH
,,QUPA4,OH,OH,OH,OH
,,QURU4,OH,OH,OH,OH
,,QUSA2,OH,OH,OH,OH
,,QUTO2,OH,OH,OH,OH
,,QUTU2,OH,OH,OH,OH
,,QUUN,OH,OH,OH,OH
,,QUVA,OH,OH,OH,OH
IO,839,QUWI2,OH,OH,OH,OH
,,QUWIF,OH,OH,OH,OH
,,QUWIW,OH,OH,OH,OH
,,ROBIN,OH,OH,OH,OH
,,ROHI,OH,OH,OH,OH
,,ROHIF8,OH,OH,OH,OH
,,ROHIH,OH,OH,OH,OH
NM,902,RONE,OH,OH,OH,OH
,,RONEN,OH,OH,OH,OH
,,RONER,OH,OH,OH,OH
RP,901,ROPS,OH,OH,OH,OH
S,,,ES,ES,ES,ES
,,SAAL,OH,OH,OH,OH
,,SAAL2,OH,OH,OH,OH
,,SAALA,OH,OH,OH,OH
,,SAALL,OH,OH,OH,OH
,,SAAM2,OH,OH,OH,OH
,,SABA3,OH,OH,OH,OH
,,SABE2,OH,OH,OH,OH
,,SABO,OH,OH,OH,OH
,,SADE2,OH,OH,OH,OH
,,SAER,OH,OH,OH,OH
,,SAEX,OH,OH,OH,OH
,,SAFR,OH,OH,OH,OH
,,SAGE2,OH,OH,OH,OH
,,SAGL,OH,OH,OH,OH
,,SAGLV,OH,OH,OH,OH
,,SAGO,OH,OH,OH,OH
,,SAHO,OH,OH,OH,OH
,,SALA3,OH,OH,OH,OH
,,SALA6,OH,OH,OH,OH
,,SALAB,OH,OH,OH,OH
,,SALAL2,OH,OH,OH,OH
,,SALI,OH,OH,OH,OH
WI,920,SALIX,OH,OH,OH,OH
,,SALU,OH,OH,OH,OH
,,SALU2,OH,OH,OH,OH
,,SALUC,OH,OH,OH,OH
,,SALUL,OH,OH,OH,OH
,,SAMA12,OH,OH,OH,OH
,,SAME2,OH,OH,OH,OH
,,SAMO2,OH,OH,OH,OH
,,SAMY,OH,OH,OH,OH
,,SAPL2,OH,OH,OH,OH
,,SAPLP4,OH,OH,OH,OH
,,SAPR3,OH,OH,OH,OH
SU,928,SASC,OH,OH,OH,OH
,,SASE10,OH,OH,OH,OH
,,SASI2,OH,OH,OH,OH
,,SATA,OH,OH,OH,OH
GS,212,SEGI2,OS,OS,OS,OS
RW,211,SESE3,OS,OS,OS,OS
PY,231,TABR2,OS,OS,OS,OS
OY,230,TAXUS,OS,OS,OS,OS
RC,242,THPL,OS,OS,OS,OS
TS,240,THUJA,OS,OS,OS,OS
CN,251,TOCA,OS,OS,OS,OS
WH,263,TSHE,OS,OS,OS,OS
MH,264,TSME,OS,OS,OS,OS
HS,260,TSUGA,OS,OS,OS,OS
,,UMBEL,OH,OH,OH,OH
CL,981,UMCA,OH,OH,OH,OH
,,UMCAC,OH,OH,OH,OH
,,UMCAF,OH,OH,OH,OH
