kodfor,fia,veq
306,299,300DVEW060
306,998,300DVEW999
307,19,300DVEW093
307,18,NVB0000015
307,202,300FW2W202
307,17,300DVEW093
307,15,NVB0000015
307,264,301DVEW015
307,242,301DVEW015
307,73,301DVEW015
307,102,300DVEW113
307,113,300DVEW113
307,108,301DVEW202
307,106,300DVEW106
307,122,300FW2W122
307,101,300DVEW113
307,114,NVBM240119
307,65,300DVEW060
307,96,300DVEW093
307,93,NVBM330093
307,94,300DVEW093
307,746,NVB0000746
307,749,300DVEW999
307,745,300DVEW999
307,814,300DVEW800
307,803,300DVEW800
307,810,300DVEW800
307,823,300DVEW800
307,843,300DVEW800
307,375,300DVEW999
307,63,300DVEW060
307,66,300DVEW060
307,69,300DVEW060
307,68,300DVEW060
307,133,300DVEW106
307,134,300DVEW106
307,143,300DVEW106
307,118,300DVEW122
307,299,300DVEW060
307,998,300DVEW999
308,19,300DVEW093
308,18,NVB0000015
308,202,300FW2W202
308,17,300DVEW093
308,15,NVB0000015
308,264,301DVEW015
308,242,301DVEW015
308,73,301DVEW015
308,102,300DVEW113
308,113,300DVEW113
308,108,301DVEW202
308,106,300DVEW106
308,122,300FW2W122
308,101,300DVEW113
308,114,NVBM240119
308,65,300DVEW060
308,96,300DVEW093
308,93,NVBM330093
308,94,300DVEW093
308,746,NVB0000746
308,749,300DVEW999
308,745,300DVEW999
308,814,300DVEW800
308,803,300DVEW800
308,810,300DVEW800
308,823,300DVEW800
308,843,300DVEW800
308,375,300DVEW999
308,63,300DVEW060
308,66,300DVEW060
308,69,300DVEW060
308,68,300DVEW060
308,133,300DVEW106
308,134,300DVEW106
308,143,300DVEW106
308,118,300DVEW122
308,299,300DVEW060
308,998,300DVEW999
309,19,300DVEW093
309,18,NVB0000015
309,202,300FW2W202
309,17,300DVEW093
309,15,NVB0000015
309,264,301DVEW015
309,242,301DVEW015
309,73,301DVEW015
309,102,300DVEW113
309,113,300DVEW113
309,108,301DVEW202
309,106,300DVEW106
309,122,300FW2W122
309,101,300DVEW113
309,114,NVBM240119
309,65,300DVEW060
309,96,300DVEW093
309,93,NVBM330093
309,94,300DVEW093
309,746,NVB0000746
309,749,300DVEW999
309,745,300DVEW999
309,814,300DVEW800
309,803,300DVEW800
309,810,300DVEW800
309,823,300DVEW800
309,843,300DVEW800
309,375,300DVEW999
309,63,300DVEW060
309,66,300DVEW060
309,69,300DVEW060
309,68,300DVEW060
309,133,300DVEW106
309,134,300DVEW106
309,143,300DVEW106
309,118,300DVEW122
309,299,300DVEW060
309,998,300DVEW999
310,19,300DVEW093
310,18,NVB0000015
310,202,300FW2W202
310,17,300DVEW093
310,15,NVB0000015
310,264,301DVEW015
310,242,301DVEW015
310,73,301DVEW015
310,102,300DVEW113
310,113,300DVEW113
310,108,301DVEW202
310,106,300DVEW106
310,122,300FW2W122
310,101,300DVEW113
310,114,NVBM240119
310,65,300DVEW060
310,96,300DVEW093
310,93,NVBM330093
310,94,300DVEW093
310,746,NVB0000746
310,749,300DVEW999
310,745,300DVEW999
310,814,300DVEW800
310,803,300DVEW800
310,810,300DVEW800
310,823,300DVEW800
310,843,300DVEW800
310,375,300DVEW999
310,63,300DVEW060
310,66,300DVEW060
310,69,300DVEW060
310,68,300DVEW060
310,133,300DVEW106
310,134,300DVEW106
310,143,300DVEW106
310,118,300DVEW122
310,299,300DVEW060
310,998,300DVEW999
312,19,300DVEW093
312,18,NVB0000015
312,202,300FW2W202
312,17,300DVEW093
312,15,NVB0000015
312,264,301DVEW015
312,242,301DVEW015
312,73,301DVEW015
312,102,300DVEW113
312,113,300DVEW113
312,108,301DVEW202
312,106,300DVEW106
312,122,300FW2W122
312,101,300DVEW113
312,114,NVBM240119
312,65,300DVEW060
312,96,300DVEW093
312,93,NVBM330093
312,94,300DVEW093
312,746,NVB0000746
312,749,300DVEW999
312,745,300DVEW999
312,814,300DVEW800
312,803,300DVEW800
312,810,300DVEW800
312,823,300DVEW800
312,843,300DVEW800
312,375,300DVEW999
312,63,300DVEW060
312,66,300DVEW060
312,69,300DVEW060
312,68,300DVEW060
312,133,300DVEW106
312,134,300DVEW106
312,143,300DVEW106
312,118,300DVEW122
312,299,300DVEW060
312,998,300DVEW999
201,19,I00FW2W019
201,18,I00FW2W019
201,202,200FW2W202
201,17,I00FW2W019
201,15,200FW2W015
201,264,407FW2W093
201,242,407FW2W093
201,73,407FW2W093
201,102,200FW2W122
201,113,200FW2W122
201,108,200FW2W108
201,106,200DVEW106
201,122,200FW2W122
201,101,200FW2W122
201,114,200FW2W122
201,65,200DVEW065
201,96,407FW2W093
201,93,407FW2W093
201,94,407FW2W093
201,746,200FW2W746
201,749,300DVEW999
201,745,300DVEW999
201,814,200DVEW814
201,803,300DVEW800
201,810,300DVEW800
201,823,200DVEW823
201,843,300DVEW800
201,375,300DVEW999
201,63,300DVEW060
201,66,200DVEW066
201,69,200DVEW069
201,68,300DVEW060
201,133,300DVEW106
201,134,300DVEW106
201,143,300DVEW106
201,118,200FW2W122
201,299,300DVEW060
201,998,200DVEW998
205,19,I00FW2W019
205,18,I00FW2W019
205,202,200FW2W202
205,17,I00FW2W019
205,15,200FW2W015
205,264,407FW2W093
205,242,407FW2W093
205,73,407FW2W093
205,102,200FW2W122
205,113,200FW2W122
205,108,200FW2W108
205,106,200DVEW106
205,122,200FW2W122
205,101,200FW2W122
205,114,200FW2W122
205,65,200DVEW065
205,96,407FW2W093
205,93,407FW2W093
205,94,407FW2W093
205,746,200FW2W746
205,749,300DVEW999
205,745,300DVEW999
205,814,200DVEW814
205,803,300DVEW800
205,810,300DVEW800
205,823,200DVEW823
205,843,300DVEW800
205,375,300DVEW999
205,63,300DVEW060
205,66,200DVEW066
205,69,200DVEW069
205,68,300DVEW060
205,133,300DVEW106
205,134,300DVEW106
205,143,300DVEW106
205,118,200FW2W122
205,299,300DVEW060
205,998,200DVEW998
208,19,I00FW2W019
208,18,I00FW2W019
208,202,200FW2W202
208,17,I00FW2W019
208,15,200FW2W015
208,264,407FW2W093
208,242,407FW2W093
208,73,407FW2W093
208,102,200FW2W122
208,113,200FW2W122
208,108,200FW2W108
208,106,200DVEW106
208,122,200FW2W122
208,101,200FW2W122
208,114,200FW2W122
208,65,200DVEW065
208,96,407FW2W093
208,93,407FW2W093
208,94,407FW2W093
208,746,200FW2W746
208,749,300DVEW999
208,745,300DVEW999
208,814,200DVEW814
208,803,300DVEW800
208,810,300DVEW800
208,823,200DVEW823
208,843,300DVEW800
208,375,300DVEW999
208,63,300DVEW060
208,66,200DVEW066
208,69,200DVEW069
208,68,300DVEW060
208,133,300DVEW106
208,134,300DVEW106
208,143,300DVEW106
208,118,200FW2W122
208,299,300DVEW060
208,998,200DVEW998
224,19,I00FW2W019
224,18,I00FW2W019
224,202,200FW2W202
224,17,I00FW2W019
224,15,200FW2W015
224,264,407FW2W093
224,242,407FW2W093
224,73,407FW2W093
224,102,200FW2W122
224,113,200FW2W122
224,108,200FW2W108
224,106,200DVEW106
224,122,200FW2W122
224,101,200FW2W122
224,114,200FW2W122
224,65,200DVEW065
224,96,407FW2W093
224,93,407FW2W093
224,94,407FW2W093
224,746,200FW2W746
224,749,300DVEW999
224,745,300DVEW999
224,814,200DVEW814
224,803,300DVEW800
224,810,300DVEW800
224,823,200DVEW823
224,843,300DVEW800
224,375,300DVEW999
224,63,300DVEW060
224,66,200DVEW066
224,69,200DVEW069
224,68,300DVEW060
224,133,300DVEW106
224,134,300DVEW106
224,143,300DVEW106
224,118,200FW2W122
224,299,300DVEW060
224,998,200DVEW998
311,19,300DVEW093
311,18,NVB0000015
311,202,300FW2W202
311,17,300DVEW093
311,15,NVB0000015
311,264,301DVEW015
311,242,301DVEW015
311,73,301DVEW015
311,102,300DVEW113
311,113,300DVEW113
311,108,301DVEW202
311,106,300DVEW106
311,122,300FW2W122
311,101,300DVEW113
311,114,NVBM240119
311,65,300DVEW060
311,96,300DVEW093
311,93,NVBM330093
311,94,300DVEW093
311,746,NVB0000746
311,749,300DVEW999
311,745,300DVEW999
311,814,300DVEW800
311,803,300DVEW800
311,810,300DVEW800
311,823,300DVEW800
311,843,300DVEW800
311,375,300DVEW999
311,63,300DVEW060
311,66,300DVEW060
311,69,300DVEW060
311,68,300DVEW060
311,133,300DVEW106
311,134,300DVEW106
311,143,300DVEW106
311,118,300DVEW122
311,299,300DVEW060
311,998,300DVEW999
216,19,I00FW2W019
216,18,I00FW2W019
216,202,200FW2W202
216,17,I00FW2W019
216,15,200FW2W015
216,264,407FW2W093
216,242,407FW2W093
216,73,407FW2W093
216,102,200FW2W122
216,113,200FW2W122
216,108,200FW2W108
216,106,200DVEW106
216,122,200FW2W122
216,101,200FW2W122
216,114,200FW2W122
216,65,200DVEW065
216,96,407FW2W093
216,93,407FW2W093
216,94,407FW2W093
216,746,200FW2W746
216,749,300DVEW999
216,745,300DVEW999
216,814,200DVEW814
216,803,300DVEW800
216,810,300DVEW800
216,823,200DVEW823
216,843,300DVEW800
216,375,300DVEW999
216,63,300DVEW060
216,66,200DVEW066
216,69,200DVEW069
216,68,300DVEW060
216,133,300DVEW106
216,134,300DVEW106
216,143,300DVEW106
216,118,200FW2W122
216,299,300DVEW060
216,998,200DVEW998
